DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:5.881,-00036.62,-00237.30, 00441.89, 00100.12, 00002.53, 00021.17,-00010.05,-00001.95, 00015.15, 00031.72
1970-1-1 0:0:5.926,-00064.45,-00326.66, 00419.92,-00024.50,-00012.50, 00001.05,-00008.25, 00000.15, 00015.75, 00032.06
1970-1-1 0:0:5.971, 00011.23,-00048.83, 01018.55,-00005.80,-00005.34, 00001.04,-00007.50, 00001.35, 00017.70, 00031.86
1970-1-1 0:0:6.016, 00011.23,-00011.72, 01018.07, 00001.37,-00000.60,-00000.76,-00009.30, 00000.75, 00015.15, 00031.77
1970-1-1 0:0:6.061, 00020.02,-00030.27, 00984.86,-00000.51,-00000.62, 00002.53,-00008.70, 00001.35, 00015.45, 00031.77
1970-1-1 0:0:6.106, 00011.23,-00032.71, 01000.98, 00002.98,-00001.54, 00001.92,-00008.70, 00000.15, 00016.50, 00031.72
1970-1-1 0:0:6.151, 00005.37,-00043.46, 01013.18, 00000.31, 00000.82,-00001.56,-00008.55, 00000.30, 00015.15, 00031.48
1970-1-1 0:0:6.196,-00033.20,-00046.88, 01016.11,-00002.80, 00001.40, 00000.54,-00008.25,-00000.15, 00014.70, 00031.86
1970-1-1 0:0:6.241, 00010.74,-00062.99, 01058.59,-00006.11,-00003.10, 00000.31,-00009.60,-00000.30, 00015.90, 00031.67
1970-1-1 0:0:6.286, 00029.79,-00122.07, 00983.89,-00052.66,-00003.63,-00000.53,-00008.85,-00001.20, 00015.15, 00031.77
1970-1-1 0:0:6.331, 00062.99,-00129.39, 01019.04,-00040.95, 00000.89, 00004.73,-00009.45,-00003.30, 00015.75, 00032.01
1970-1-1 0:0:6.376, 00016.11,-00162.60, 01232.91,-00003.07,-00018.48, 00009.62,-00009.90,-00004.95, 00013.50, 00031.91
1970-1-1 0:0:6.421, 00013.18,-00149.41, 01215.82, 00009.60,-00033.37, 00006.34,-00009.60,-00003.90, 00014.10, 00031.91
1970-1-1 0:0:6.466, 00069.34,-00126.95, 01029.79, 00006.75,-00002.45, 00013.04,-00009.60,-00005.10, 00011.70, 00031.53
1970-1-1 0:0:6.511, 00004.88,-00156.25, 01025.88,-00007.83, 00039.56, 00017.10,-00010.20,-00003.75, 00012.00, 00031.91
1970-1-1 0:0:6.556,-00005.86,-00159.67, 01081.54,-00013.75, 00045.05, 00017.02,-00006.00,-00003.75, 00013.50, 00031.91
1970-1-1 0:0:6.601,-00017.58,-00139.16, 01045.90,-00011.07, 00024.80, 00011.80,-00004.65,-00005.55, 00012.90, 00031.77
1970-1-1 0:0:6.646,-00137.70,-00195.80, 01058.11,-00020.73, 00007.22, 00007.34,-00002.10,-00006.60, 00010.50, 00031.91
1970-1-1 0:0:6.691,-00062.50,-00102.54, 00997.56,-00023.90,-00000.30, 00000.43,-00004.20,-00007.20, 00011.40, 00032.01
1970-1-1 0:0:6.736,-00062.99,-00213.87, 00951.17,-00022.60,-00002.60,-00000.95,-00002.70,-00006.75, 00009.90, 00031.91
1970-1-1 0:0:6.781,-00050.29,-00224.12, 00850.10,-00022.73, 00012.04,-00005.27,-00000.45,-00007.35, 00009.60, 00031.67
1970-1-1 0:0:6.848,-00076.17,-00233.40, 00868.65,-00005.02, 00026.52, 00013.37,-00000.90,-00010.20, 00007.05, 00031.86
1970-1-1 0:0:6.915,-00094.24,-00160.64, 00923.34,-00004.94, 00019.83, 00011.16,-00000.15,-00010.20, 00008.85, 00031.72
1970-1-1 0:0:6.982,-00122.07,-00181.15, 00833.01, 00011.99, 00007.88, 00005.67, 00001.50,-00011.25, 00008.40, 00031.77
1970-1-1 0:0:7.049,-00104.98,-00148.44, 00822.27, 00018.53,-00000.86, 00006.31, 00002.25,-00009.15, 00007.95, 00031.77
1970-1-1 0:0:7.116,-00130.37,-00146.48, 00820.80, 00014.51,-00017.51, 00005.89, 00001.65,-00009.00, 00010.05, 00032.01
1970-1-1 0:0:7.183,-00093.75,-00107.91, 00788.57, 00009.03,-00019.39,-00002.93, 00000.15,-00008.55, 00009.60, 00031.72
