DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:1:29.761,-00022.95,-00016.60, 01007.32, -00002.05, 00001.76,-00000.88,-00009.60, 00000.30, 00022.05, 00030.71
1970-1-1 0:1:31.240,-00038.57,-00012.70, 01006.84,  00000.24,-00003.89, 00002.15,-00008.70, 00002.55, 00021.45, 00030.62
1970-1-1 0:1:32.714,-00032.23,-00015.62, 01000.98,  00000.96, 00001.03, 00000.40,-00008.85, 00002.40, 00021.30, 00030.81
1970-1-1 0:1:34.194,-00021.48,-00008.79, 01010.25, -00001.18, 00001.60, 00000.30,-00008.85, 00001.20, 00021.30, 00030.95
1970-1-1 0:1:35.676,-00032.71,-00009.28, 01011.72, -00001.89, 00000.21, 00001.03,-00009.30, 00003.15, 00021.30, 00030.86
1970-1-1 0:1:37.169,-00026.86,-00022.46, 01006.35, -00001.36,-00000.11,-00002.88,-00009.00, 00000.60, 00021.45, 00030.81
1970-1-1 0:1:38.639,-00034.18,-00002.93, 00991.21, -00000.59,-00000.25, 00001.57,-00008.70, 00000.90, 00021.90, 00030.81
1970-1-1 0:1:40.147,-00035.16,-00009.77, 01001.46, -00002.13, 00002.42,-00001.08,-00008.85, 00003.60, 00022.80, 00030.95
1970-1-1 0:1:41.642,-00035.64,-00013.18, 00991.21, -00001.53, 00000.15,-00000.82,-00009.30, 00002.40, 00021.00, 00030.81
1970-1-1 0:1:43.125,-00022.95,-00019.53, 01003.91, -00002.57, 00005.36, 00000.00,-00009.00, 00001.35, 00022.20, 00030.86
1970-1-1 0:1:44.606,-00028.81,-00007.32, 01012.70, -00002.02, 00000.13, 00001.26,-00010.05, 00000.30, 00021.75, 00030.86
1970-1-1 0:1:46.079,-00024.90,-00023.44, 01013.18, -00002.13, 00001.21, 00000.74,-00008.85, 00001.20, 00022.80, 00030.67
1970-1-1 0:1:47.565,-00042.48,-00031.25, 01005.86, -00002.47, 00001.21,-00003.06,-00009.30, 00001.50, 00021.75, 00030.86
1970-1-1 0:1:49.043,-00026.86,-00005.37, 01003.42, -00000.11,-00000.14,-00002.23,-00009.90, 00002.10, 00021.45, 00030.67
1970-1-1 0:1:50.527,-00032.23,-00026.37, 01001.46, -00001.08,-00000.18,-00000.62,-00007.65, 00002.40, 00021.75, 00030.86
1970-1-1 0:1:52.07,-00027.83,-00021.00, 01003.91,  00001.03,-00000.53, 00000.04,-00009.90, 00001.35, 00020.70, 00030.95
1970-1-1 0:1:53.600,-00035.64,-00000.98, 01003.91, -00000.84, 00001.33, 00000.68,-00010.20, 00002.10, 00021.90, 00030.95
1970-1-1 0:1:55.085,-00046.39,-00022.46, 01000.00, -00000.62,-00002.31, 00002.79,-00009.60, 00000.75, 00021.30, 00030.81
1970-1-1 0:1:56.557,-00030.76,-00036.13, 01003.91, -
